epoch,train_loss,val_loss,test_loss,val_rmse,val_cor,test_rmse,test_cor
1,0.041,0.0344,0.0354,0.1854,0.2875,0.1882,0.175
2,0.0323,0.0303,0.0344,0.174,0.4386,0.1854,0.2626
3,0.0293,0.0276,0.0337,0.166,0.5142,0.1836,0.2939
4,0.0267,0.0254,0.034,0.1593,0.5678,0.1843,0.3026
5,0.0245,0.0232,0.0339,0.1524,0.6178,0.1842,0.3157
6,0.0222,0.0211,0.0342,0.1453,0.6616,0.1849,0.3258
7,0.02,0.0189,0.0341,0.1375,0.7032,0.1848,0.3302
8,0.0177,0.017,0.0346,0.1305,0.7381,0.1861,0.3354
9,0.0158,0.0155,0.0351,0.1244,0.7669,0.1874,0.3331
10,0.0141,0.0141,0.0349,0.119,0.7897,0.1868,0.3352
11,0.0126,0.0131,0.036,0.1144,0.8067,0.1897,0.3251
12,0.0113,0.012,0.0353,0.1095,0.8243,0.188,0.328
13,0.0103,0.0114,0.036,0.1067,0.8341,0.1897,0.3256
14,0.0093,0.0106,0.0365,0.1029,0.847,0.1911,0.3205
15,0.0085,0.0102,0.0364,0.1012,0.8525,0.1909,0.3198
16,0.0078,0.0096,0.0364,0.098,0.8622,0.1907,0.3228
17,0.0071,0.0093,0.0368,0.0963,0.8678,0.1918,0.3223
18,0.0066,0.0089,0.0372,0.0946,0.8731,0.193,0.3175
19,0.006,0.0084,0.0369,0.0917,0.8805,0.1921,0.3168
20,0.0056,0.0079,0.0371,0.0889,0.8881,0.1925,0.3118
21,0.0051,0.0079,0.0374,0.0888,0.8886,0.1935,0.308
22,0.0048,0.0075,0.0375,0.0865,0.8946,0.1936,0.3129
23,0.0044,0.0072,0.0375,0.0847,0.8994,0.1937,0.3098
24,0.0041,0.0068,0.0375,0.0827,0.9045,0.1937,0.3151
25,0.0038,0.0066,0.0374,0.0815,0.907,0.1934,0.3114
26,0.0036,0.0065,0.038,0.0805,0.9097,0.1948,0.3076
27,0.0034,0.0062,0.0375,0.0787,0.9135,0.1937,0.3091
28,0.0032,0.0061,0.0373,0.0782,0.9146,0.1932,0.3115
29,0.003,0.0059,0.0377,0.0767,0.918,0.1941,0.3104
30,0.0029,0.0058,0.038,0.0763,0.9191,0.1949,0.3031
31,0.0027,0.0058,0.0382,0.076,0.9197,0.1954,0.3021
32,0.0026,0.0055,0.0379,0.0741,0.9239,0.1947,0.308
33,0.0025,0.0054,0.0385,0.0737,0.9247,0.1961,0.3069
34,0.0024,0.0054,0.0382,0.0732,0.9257,0.1953,0.3076
35,0.0023,0.0052,0.0384,0.072,0.9285,0.1958,0.3051
36,0.0021,0.0051,0.0382,0.0716,0.9292,0.1953,0.3045
37,0.002,0.0051,0.0381,0.0712,0.9298,0.195,0.3035
38,0.002,0.0049,0.0382,0.0698,0.9332,0.1954,0.3052
39,0.0019,0.0048,0.0382,0.0696,0.9332,0.1953,0.3059
40,0.0018,0.0048,0.0388,0.0691,0.9341,0.197,0.3004
41,0.0018,0.0049,0.0389,0.0698,0.9328,0.1971,0.2966
42,0.0017,0.0046,0.0384,0.0677,0.9369,0.196,0.3034
43,0.0017,0.0046,0.0389,0.0675,0.9372,0.1972,0.2963
44,0.0015,0.0045,0.0387,0.0667,0.9388,0.1967,0.3009
45,0.0015,0.0045,0.0384,0.067,0.9382,0.1959,0.2992
46,0.0015,0.0044,0.039,0.066,0.9403,0.1975,0.2954
47,0.0014,0.0043,0.0387,0.0655,0.9409,0.1968,0.2976
48,0.0014,0.0043,0.0387,0.0652,0.9416,0.1967,0.298
49,0.0014,0.0041,0.039,0.0644,0.943,0.1975,0.2968
50,0.0013,0.0042,0.039,0.0645,0.943,0.1974,0.2968
51,0.0013,0.0042,0.0393,0.0645,0.9428,0.1981,0.2923
52,0.0012,0.0041,0.0391,0.0637,0.9444,0.1978,0.2938
53,0.0012,0.004,0.0392,0.0636,0.9444,0.1981,0.2911
54,0.0012,0.004,0.0392,0.063,0.9455,0.198,0.2887
55,0.0011,0.0039,0.0391,0.0623,0.9467,0.1977,0.2896
56,0.0011,0.0039,0.0391,0.0624,0.9466,0.1976,0.2937
57,0.001,0.0039,0.0399,0.0626,0.9462,0.1997,0.2856
58,0.001,0.0038,0.0395,0.0617,0.948,0.1987,0.2885
59,0.001,0.0039,0.0394,0.0626,0.9464,0.1985,0.2896
60,0.001,0.004,0.0396,0.0629,0.9456,0.1989,0.2881
61,0.001,0.0039,0.0394,0.0625,0.9463,0.1986,0.2885
62,0.0009,0.0038,0.0391,0.0615,0.948,0.1976,0.2924
