epoch,train_loss,val_loss,test_loss,val_rmse,val_cor,test_rmse,test_cor
63,0.001,0.0038,0.0397,0.0613,0.9486,0.1994,0.2866
64,0.0009,0.0037,0.0399,0.0607,0.9496,0.1998,0.2898
65,0.0009,0.0036,0.0393,0.0601,0.9506,0.1982,0.2904
66,0.0009,0.0036,0.0394,0.0603,0.9502,0.1985,0.2897
67,0.0009,0.0036,0.0395,0.0601,0.9506,0.1988,0.2898
68,0.0009,0.0036,0.04,0.0599,0.9509,0.2001,0.2813
69,0.0008,0.0036,0.0391,0.06,0.9507,0.1976,0.2893
70,0.0008,0.0035,0.0396,0.0591,0.9523,0.1991,0.2883
71,0.0008,0.0036,0.0398,0.0599,0.9509,0.1996,0.2827
72,0.0008,0.0034,0.0396,0.0581,0.954,0.1989,0.2913
73,0.0008,0.0036,0.0401,0.0602,0.9506,0.2003,0.283
74,0.0008,0.0034,0.0399,0.0587,0.9528,0.1996,0.2825
75,0.0007,0.0034,0.0397,0.0583,0.9536,0.1992,0.2856
76,0.0007,0.0034,0.0397,0.0583,0.9535,0.1993,0.2855
77,0.0007,0.0034,0.0402,0.058,0.9541,0.2005,0.2861
78,0.0007,0.0033,0.0397,0.0578,0.9543,0.1993,0.2832
79,0.0007,0.0033,0.0398,0.0579,0.9543,0.1994,0.2872
80,0.0007,0.0034,0.0397,0.058,0.9541,0.1994,0.2866
81,0.0007,0.0034,0.0401,0.0583,0.9537,0.2001,0.2822
82,0.0007,0.0033,0.0402,0.0573,0.9552,0.2004,0.2824
83,0.0007,0.0033,0.0402,0.0575,0.955,0.2005,0.2824
84,0.0007,0.0033,0.0402,0.0575,0.9548,0.2005,0.2847
85,0.0006,0.0032,0.0399,0.0565,0.9565,0.1997,0.2837
86,0.0006,0.0033,0.0405,0.0572,0.9555,0.2012,0.2773
87,0.0006,0.0032,0.0404,0.0566,0.9563,0.2009,0.282
88,0.0006,0.0032,0.04,0.0567,0.9561,0.2001,0.2783
89,0.0006,0.0032,0.0405,0.0564,0.9566,0.2012,0.2803
90,0.0006,0.0032,0.0405,0.0564,0.9566,0.2012,0.2784
91,0.0006,0.0031,0.0404,0.0557,0.9576,0.2009,0.2756
92,0.0006,0.0031,0.0403,0.0561,0.9571,0.2008,0.2809
93,0.0006,0.0031,0.0405,0.0553,0.9583,0.2012,0.2757
94,0.0006,0.0032,0.0406,0.0565,0.9565,0.2014,0.2771
95,0.0006,0.003,0.0402,0.055,0.9588,0.2006,0.2794
96,0.0005,0.003,0.0406,0.0552,0.9586,0.2015,0.2776
97,0.0005,0.003,0.0403,0.0545,0.9595,0.2008,0.2819
98,0.0005,0.003,0.0408,0.0546,0.9595,0.2019,0.2781
99,0.0005,0.0031,0.0405,0.0553,0.9582,0.2013,0.2777
100,0.0005,0.003,0.0403,0.0544,0.9597,0.2008,0.2806
