cell_iname,gene_name
SKMM2,HS3ST5
BICR31,KRTAP10-5
JHH1,TBC1D25
NB1,CYB5D1
NB1,RAB6C
UMUC11,CAPN5
NCIH1573,APPBP2
SNU685,FBXO44
SKBR3,IGFBP1
SNU601,MAP2K1
KP3,SCYL1
SNU398,ZFP28
HSC5,CYP19A1
PECAPJ34CLONEC12,ZNF483
786O,OTUD4
MCF7,WDR1
D341,SCP2D1
HS852T,SELL
SNU8,PCDHGA7
NCIH661,ANKDD1B
UMUC16,SLC6A13
SYO1,CASP6
697,BRD3
HMY1,UBE2QL1
SLR23,TSR1
C10,SYK
CCLFPEDS0008T,RHOG
SKNFI,DEFB124
SNU1079,PPM1H
KYO1,PPIG
