cell_iname,gene_name
YD10B,NDUFB2
SNU475,EIF2AK4
MHHCALL4,GDAP1L1
ICC9,TNFRSF13C
QGP1,OR5AR1
KG1,HEATR4
OVCAR4,VWA1
M059K,NT5DC3
AM38,ZNF34
COV318,SYT11
NP5,CWC27
KG1C,MOS
MFE280,CSK
OCILY19,ATP7B
HS343T,CD1B
D283MED,GIT2
SNU1066,TRAPPC6A
NCO2,SLC22A4
LN215,FAT1
SW1417,OR10G7
LN215,ROBO2
KYSE450,EFCAB3
NCIH526,MMP7
TE4,ZDHHC6
SKMEL24,RFPL2
SNU761,PTGFR
DU4475,RALGPS2
PACADD159,PHLDA3
TC138,ACTN4
SNUC5,BMPR1B
