,gene_name
4276,MARCHF2
4277,HSPH1
4278,HOXA7
4279,HIRA
4280,TOX
4281,CHRNB3
4282,SMYD3
4283,KIRREL3
4284,SLC18A3
4285,SLC30A2
4286,ATP6V1F
4287,HUS1
4288,DAZAP2
4289,RPS17
4290,A1CF
4291,MMP24
4292,SLC13A3
4293,SRSF10
4294,SERPINA1
4295,TWNK
4296,GPC4
4297,MCM4
4298,YTHDC2
4299,SESN1
4300,TKT
4301,SCN4B
4302,CD1C
4303,NISCH
4304,UBA5
4305,TUBG2
4306,GEM
4307,NR1I2
4308,MICB
4309,DHX15
4310,PEF1
4311,LTBP3
4312,CCKBR
4313,DOCK4
4314,ADAMTS5
4315,WASH2P
4316,SVEP1
4317,GSC
4318,CYP3A7
4319,TXNRD2
4320,PLEKHF1
4321,WDR47
4322,EVL
4323,AIPL1
4324,ALDH2
4325,CTDNEP1
4326,MKNK2
4327,EYA2
4328,REL
4329,SMN1
4330,HDAC8
4331,PLA2R1
4332,FZD8
4333,PKDCC
4334,ACAA1
4335,HTATIP2
4336,HPX
4337,NEK1
4338,ADCY5
4339,DOCK5
4340,ARL8A
4341,TEX11
4342,MAP3K11
4343,UBE2L3
4344,ALOXE3
4345,RPS15A
4346,PEX6
4347,THOC1
4348,POU5F1
4349,WEE2
4350,CUL1
4351,NUP133
4352,FERMT3
4353,HTR4
4354,TMEM119
4355,LRIG2
4356,AQP4
4357,MCHR1
4358,NUDT4
4359,DOCK8
4360,KLF7
4361,ZDHHC3
4362,AVIL
4363,CHRNA6
4364,GZMB
4365,SLK
4366,LIG3
4367,STBD1
4368,NCAPG2
4369,KLF10
4370,PTPA
4371,APOM
4372,FSHR
4373,GPR37L1
4374,AP3S1
4375,ZFX
4376,ACTR5
4377,PPIH
4378,CCNG1
4379,SNX17
4380,PRKAR2A
4381,C3AR1
4382,CCL16
4383,TMEM108
4384,MMP16
4385,SCG2
4386,SLC13A5
4387,HOXC10
4388,FCER2
4389,GRIK5
4390,SEMA6A
4391,CA4
4392,ZBTB49
4393,MRAP2
4394,IL2RA
4395,PEX12
4396,CLDN7
4397,TBX6
4398,CYP4A22
4399,NUAK1
4400,MLC1
4401,RAB2A
4402,SET
4403,HOXB4
4404,UBC
4405,S1PR2
4406,MDH2
4407,REC8
4408,PPP1R8
4409,IFT25
4410,CDC25C
4411,LSM6
4412,ABCC11
4413,NHERF4
4414,RAPGEF1
4415,GBA3
4416,VPS51
4417,P2RX6
4418,UCN3
4419,PPP1R16B
4420,STEAP4
4421,TNS2
4422,PLPP1
4423,PTPRF
4424,M6PR
4425,TAOK3
4426,RAB2B
4427,TFR2
4428,POLR3A
4429,CYP2J2
4430,THG1L
4431,ASB2
4432,GRSF1
4433,MMP8
4434,SRY
4435,HELZ2
4436,ST3GAL1
4437,MIXL1
4438,KCNK4
4439,ATF1
4440,MYF6
4441,RTCB
4442,ATP11C
4443,KIF22
4444,APRT
4445,CCT7
4446,DPF3
4447,LIN7A
4448,PANK2
4449,MGST2
4450,CAPRIN2
4451,BARX2
4452,CXCL1
4453,AKR1B10
4454,MICALL2
4455,PADI4
4456,CAPN10
4457,TRAPPC4
4458,GLIS2
4459,NAE1
4460,SV2A
4461,NTNG2
4462,ARHGDIA
4463,STXBP5
4464,TRMT10C
4465,SP7
4466,FABP3
4467,ABCD4
4468,ARL1
4469,IFT88
4470,TRIP6
4471,UPF3A
4472,SEMG1
4473,TPM4
4474,CYP2S1
4475,RBM8A
4476,ACACA
4477,SYT9
4478,ADH7
4479,IGHA1
4480,FGD5
4481,MC3R
4482,ACAN
4483,RPS27
4484,PARD3B
4485,WIPI2
4486,NMUR2
4487,RPL22
4488,ADK
4489,ZBED1
4490,PA2G4
4491,STEAP2
4492,SUV39H2
4493,P2RY4
4494,JUND
4495,TNFSF18
4496,TUT4
4497,OBSL1
4498,RAB25
4499,HACD3
4500,CRYAA
4501,MORC2
4502,TMOD1
4503,SLC9A6
4504,RABEP1
4505,SETD3
4506,PIM2
4507,KNTC1
4508,RHAG
4509,CILK1
4510,NLRP5
4511,PARP14
4512,EML4
4513,UBE2T
4514,SRPX2
4515,FFAR3
4516,TRIM62
4517,TAX1BP1
4518,ADSS2
4519,JADE2
4520,IGF2BP3
4521,SLC39A9
4522,PPEF2
4523,CDK8
4524,PRELID1
4525,CIBAR1
4526,H1-5
4527,NES
4528,TEX14
4529,GNAZ
4530,VDAC3
4531,MGARP
4532,CENPC
4533,LYPLA1
4534,SLF2
4535,DEFA3
4536,RRP7A
4537,BRINP1
4538,SLAMF8
4539,NME8
4540,RXRG
4541,CCNE2
4542,TRIM34
4543,CPB2
4544,PI4KB
4545,SOX3
4546,ANKRD17
4547,EIF3B
4548,DYRK1B
4549,XCL2
4550,ERN2
4551,CHRM5
4552,CRYM
4553,MOV10
4554,ATG4D
4555,SLC25A27
4556,CAVIN1
4557,NSDHL
4558,ASAP1
4559,GNMT
4560,CHID1
4561,RAB3D
4562,CDK14
4563,CYP2C18
4564,CCL18
4565,SULT2B1
4566,CYSLTR1
4567,ATXN7
4568,RPS16
4569,METTL14
4570,PGK1
4571,PLD2
4572,RPL6
4573,EFEMP1
4574,PGM5
4575,NOLC1
4576,CLEC4G
4577,SLC30A3
4578,KDM5A
4579,KNL1
4580,CCT6A
4581,UPF3B
4582,CDC42BPA
4583,UBD
4584,VIPAS39
4585,CSTB
4586,MFF
4587,PSRC1
4588,RFTN1
4589,MSH3
4590,SPDYA
4591,ABCG4
4592,OSBPL5
4593,VPS13B
4594,GGA1
4595,ZRANB1
4596,PLCB3
4597,ARL13B
4598,RTN4RL1
4599,ARIH1
4600,EXOC1
4601,SYNPO
4602,IL34
4603,RFC3
4604,GLA
4605,MARCHF1
4606,CYP7B1
4607,ATOH7
4608,OSBPL2
4609,DHRS3
4610,AP2S1
4611,CCSAP
4612,SOX30
4613,HBG2
4614,TUBB1
4615,TENM4
4616,RPS11
4617,DEFA4
4618,BCL7B
4619,CEACAM6
4620,APOBEC3C
4621,LIN28B
4622,SAA1
4623,MELK
4624,CDH9
4625,SLC17A5
4626,ATP4B
4627,HSPB6
4628,PRKACG
4629,ALDH3A2
4630,IL16
4631,HOPX
4632,COG3
4633,SNCG
4634,BRPF1
4635,MPST
4636,GBP3
4637,PRIMPOL
4638,SEPTIN1
4639,DCC
4640,NME7
4641,SLC26A3
4642,PCGF2
4643,BHLHE40
4644,ZYX
4645,RPS23
4646,BTC
4647,PHLPP1
4648,SLC25A42
4649,RGS7
4650,NGDN
4651,NPTN
4652,CCNK
4653,SMYD2
4654,TRIM11
4655,PGLYRP2
4656,SIPA1L3
4657,CLEC3B
4658,BANK1
4659,VASH1
4660,SHISA6
4661,FXR2
4662,LRRK1
4663,CEP250
4664,PEX19
4665,FH
4666,SUN2
4667,PCBP1
4668,CCND3
4669,STK16
4670,DEK
4671,CBFB
4672,SLC47A1
4673,AGR2
4674,HERPUD1
4675,MMP13
4676,SART1
4677,PBK
4678,COL4A1
4679,C1QA
4680,KLF11
4681,WDFY3
4682,TAF11
4683,RYR3
4684,EDAR
4685,SSTR1
4686,ACOT4
4687,B4GALT5
4688,DSTYK
4689,IL18R1
4690,SMAD9
4691,GFER
4692,WRNIP1
4693,NTMT1
4694,NPHS1
4695,PGAM1
4696,NUFIP1
4697,KCNE5
4698,CAND1
4699,DNAH9
4700,SLC2A13
4701,CDC34
4702,PLXNA2
4703,LMNB1
4704,PSMD2
4705,PRDM5
4706,SYT12
4707,HAAO
4708,SEC22B
4709,CUL5
4710,TRAPPC12
4711,ATXN1L
4712,WWC1
4713,SERPINH1
4714,TRIP10
4715,GRB10
4716,AGK
4717,GTF2H2
4718,STK25
4719,PALB2
4720,CIRBP
4721,SPPL3
4722,FEZF1
4723,ARHGEF18
4724,LILRA5
4725,CIDEC
4726,IL11
4727,RAB26
4728,SMARCAD1
4729,CELSR2
4730,KIF13B
4731,COL5A2
4732,DCTN2
4733,PLB1
4734,FUT1
4735,MX1
4736,HK3
4737,POU2F3
4738,EGLN3
4739,BYSL
4740,CCL14
4741,GSDME
4742,PTPRZ1
4743,CDC7
4744,CAP1
4745,RPS6KA6
4746,HCRTR2
4747,YTHDF1
4748,TMED9
4749,DNAJC6
4750,SPDEF
4751,SEC31A
4752,DMRTA2
4753,ST3GAL2
4754,DCLRE1B
4755,OTULIN
4756,SLC44A4
4757,EBI3
4758,PPBP
4759,SIDT2
4760,SLPI
4761,WEE1
4762,HADHB
4763,CDK5RAP1
4764,RPS12
4765,HSD17B6
4766,NPY1R
4767,EIF5A
4768,OLFM1
4769,ATP6V1G1
4770,NEIL1
4771,PFDN5
4772,RFC4
4773,SPON2
4774,SF3B3
4775,SLC26A4
4776,PDE5A
4777,PAICS
4778,CASP6
4779,DDB2
4780,ZNF675
4781,PARP11
4782,CLEC4D
4783,FPGS
4784,ATG9B
4785,ADD3
4786,MED27
4787,FLRT1
4788,DNAJC10
4789,CDC25A
4790,POLE3
4791,SOAT2
4792,CCL3L1
4793,IGFBP7
4794,PIWIL4
4795,NDFIP2
4796,TAF4
4797,CENPS
4798,IFI6
4799,RREB1
4800,AP1M1
4801,SNX27
4802,ELN
4803,CBR1
4804,PGLYRP3
4805,H2BC1
4806,ZBTB33
4807,FHL1
4808,PITPNB
4809,CHRDL1
4810,SERPING1
4811,KDF1
4812,CDCA5
4813,MX2
4814,CHP2
4815,RNF111
4816,SEPTIN5
4817,ENTPD6
4818,APOL1
4819,PHF2
4820,C5
4821,SKP2
4822,FNBP1L
4823,RNF19A
4824,TCERG1
4825,FCMR
4826,DYNC2LI1
4827,RPL30
4828,LSM2
4829,LMAN2
4830,H1-1
4831,GAS2L2
4832,CLCN5
4833,GNL3L
4834,MYO7B
4835,WDTC1
4836,GSTO1
4837,RASIP1
4838,PPP2R5B
4839,ZNF304
4840,CCDC40
4841,MTRR
4842,GNB5
4843,KRT14
4844,YTHDC1
4845,DNAI1
4846,WDR45B
4847,ADAMTS7
4848,UBE2V1
4849,MYADM
4850,SLC28A3
4851,WHAMM
4852,EDEM1
4853,TIMM50
4854,TRAF7
4855,BDKRB1
4856,COL16A1
4857,FANCA
4858,CDH4
4859,CYP26A1
4860,ZIC2
4861,TNIP1
4862,N6AMT1
4863,ATXN2
4864,FHOD1
4865,ARRDC3
4866,OTUD4
4867,DDX42
4868,GLMN
4869,USP28
4870,CCR3
4871,NDUFS1
4872,TNFSF12
4873,COPB1
4874,BIN3
4875,MUS81
4876,POLR2E
4877,CANT1
4878,MICALL1
4879,NHLH2
4880,TWIST2
4881,IL2RB
4882,YME1L1
4883,MTMR6
4884,FGF5
4885,EIF2A
4886,SEMA4A
4887,NFRKB
4888,RCHY1
4889,C4A
4890,G6PC1
4891,KIFC3
4892,COPA
4893,DLST
4894,PPP1R10
4895,DHX37
4896,FEM1B
4897,GUCY1A1
4898,BCAN
4899,ANAPC2
4900,PRPS1
4901,SYT8
4902,CSF2RB
4903,SYCP2
4904,KATNAL1
4905,GRIN3B
4906,SNRNP200
4907,UBQLN2
4908,PLA2G4B
4909,GPR183
4910,SPTB
4911,VKORC1
4912,RHOH
4913,EXOC7
4914,OR51E2
4915,PSMD1
4916,SGTA
4917,CYP2R1
4918,MCOLN2
4919,CD1E
4920,AP1S1
4921,UGDH
4922,DPF1
4923,SLC2A2
4924,SETD1A
4925,DGUOK
4926,KYNU
4927,MCM3AP
4928,GPC2
4929,NMNAT1
4930,RPL24
4931,MYO15A
4932,RAB6C
4933,JAM2
4934,NRAS
4935,DAGLB
4936,SCO2
4937,SNX4
4938,GABRR3
4939,ACER2
4940,LIN7C
4941,TEC
4942,SDR16C5
4943,ETS2
4944,SMPD4
4945,KLRD1
4946,DNER
4947,FPR1
4948,RASGRP4
4949,EFTUD2
4950,USP4
4951,NUS1
4952,SLC6A13
4953,NUP35
4954,KIF9
4955,CXCL6
4956,GCNT2
4957,PSTPIP1
4958,L3MBTL1
4959,KIF4B
4960,NAAA
4961,MGRN1
4962,FKBP10
4963,TPH1
4964,CLCN4
4965,IFITM3
4966,NAGK
4967,DHRS7B
4968,NHP2
4969,HERC2
4970,CADM4
4971,STMN3
4972,AP2A2
4973,TDRD9
4974,GCC2
4975,KCNAB1
4976,IFNA7
4977,SLU7
4978,CYP46A1
4979,PEG10
4980,KDELR1
4981,UBE2K
4982,DNAAF2
4983,DSCAML1
4984,MBTD1
4985,YWHAQ
4986,GJC2
4987,ITGB3BP
4988,HBD
4989,BOP1
4990,HVCN1
4991,KRT5
4992,MUTYH
4993,HRH3
4994,LONP2
4995,SLC24A1
4996,NUP85
4997,ADTRP
4998,AP4M1
4999,INPP4A
5000,DERL2
5001,S1PR3
5002,PPP2R3C
5003,NR2C1
5004,COL4A2
5005,LHX5
5006,ABHD17A
5007,DGAT1
5008,MB
5009,SSTR4
5010,TAF3
5011,NPC1L1
5012,MYH11
5013,FOXK1
5014,FOXA3
5015,B9D1
5016,RPL10
5017,ATP6V0B
5018,RPS27L
5019,MAST1
5020,STAB1
5021,RAD51AP1
5022,TRAIP
5023,DSN1
5024,GCNT1
5025,RNF10
5026,PRPF6
5027,RAB43
5028,TTF2
5029,SDHB
5030,SPG7
5031,PACSIN3
5032,FGFRL1
5033,ELF3
5034,COL11A2
5035,EXTL3
5036,SLC10A1
5037,UBE2D1
5038,RGS12
5039,TRNT1
5040,MUC1
5041,RNF13
5042,GRHPR
5043,C5AR2
5044,CREBL2
5045,PPM1B
5046,SLCO1B1
5047,PDE12
5048,DYNC1I1
5049,TMC8
5050,SPPL2B
5051,METTL16
5052,RPS2
5053,PIK3R3
5054,ZDHHC21
5055,DOCK10
5056,OLA1
5057,COPG1
5058,MYO5B
5059,FOXK2
5060,GRM6
5061,KMT5C
5062,ZNF268
5063,NQO2
5064,PRPF31
5065,ENTR1
5066,WBP2
5067,SH3BP4
5068,UGT1A7
5069,TMEM59
5070,SERPINA3
5071,IL9
5072,SOX1
5073,SEPTIN11
5074,RSPH4A
5075,TRERF1
5076,DCT
5077,CELF3
5078,FGF6
5079,ABCB7
5080,E2F5
5081,RFWD3
5082,AP1S2
5083,GUCY2C
5084,MTREX
5085,IL18RAP
5086,EXTL2
5087,GALNT2
5088,CNTRL
5089,CCNA1
5090,GTF2A2
5091,SLC25A33
5092,CXCR1
5093,CHRNG
5094,COQ3
5095,ORMDL3
5096,GSTM3
5097,CPLX1
5098,ZWINT
5099,RAE1
5100,BRMS1
5101,BCLAF1
5102,SLCO2B1
5103,PDLIM2
5104,EIF3D
5105,TAC1
5106,IFT56
5107,PAX5
5108,PLD3
5109,ATP8B2
5110,APH1B
5111,GCM1
5112,RECQL
5113,RHBDD1
5114,BBS5
5115,RPL7
5116,MED17
5117,DFFA
5118,KCNK3
5119,SLIT1
5120,ADAMTS3
5121,TIPIN
5122,FANCC
5123,CALY
5124,TBC1D24
5125,AKNA
5126,KASH5
5127,MARK3
5128,TRPC4
5129,RAB3IP
5130,H4C1
5131,FGD4
5132,GK2
5133,LYST
5134,SBNO2
5135,PLCB2
5136,SLC26A2
5137,SULT1E1
5138,CMPK2
5139,PLAAT4
5140,RHNO1
5141,COPS8
5142,CENPX
5143,GARS1
5144,CSH1
5145,ALKBH3
5146,TAF4B
5147,DDAH1
5148,SLITRK5
5149,IFNAR2
5150,PIK3R5
5151,PPP3CC
5152,LANCL2
5153,NME3
5154,SYT6
5155,MAGOHB
5156,RGMA
5157,SMARCA1
5158,PRKG2
5159,RBM10
5160,SETDB1
5161,IFNE
5162,L3MBTL3
5163,CHD2
5164,DPM1
5165,TACR3
5166,CLUAP1
5167,IGHA2
5168,ODF2
5169,ZZZ3
5170,ALAS1
5171,CHCHD10
5172,ID1
5173,HCN2
5174,PIEZO1
5175,POLR2L
5176,PSMC4
5177,ITGA11
5178,CALCOCO2
5179,AKR7A2
5180,BHLHE41
5181,OPN1SW
5182,LRWD1
5183,CLCF1
5184,EXOSC6
5185,TMEM165
5186,SLC3A1
5187,ZNRF2
5188,SLC39A6
5189,CCDC47
5190,ANP32B
5191,BCAR3
5192,DOT1L
5193,IFNW1
5194,MIP
5195,CABP1
5196,SULT1A3
5197,BNIP1
5198,MBNL1
5199,EXOC5
5200,H6PD
5201,SLC35D3
5202,TMPRSS6
5203,CLRN1
5204,MAGOH
5205,HTR3B
5206,RAPGEF4
5207,CHSY1
5208,MYH8
5209,TRPC3
5210,DNAJC19
5211,AQP10
5212,SLFN11
5213,OTX2
5214,UGCG
5215,TRIM16
5216,GALNT1
5217,CLIC5
5218,PROC
5219,LACC1
5220,ARHGAP33
5221,DDX23
5222,TMEM250
5223,KMT2C
5224,SEC61A1
5225,MAP3K14
5226,HEXIM1
5227,CLSTN2
5228,LBX1
5229,SLC44A1
5230,PTGFR
5231,FBXO11
5232,NCAPD2
5233,CYB5R4
5234,LGR6
5235,CCR4
5236,BLTP1
5237,FHL2
5238,PHOX2A
5239,PPFIA1
5240,PTP4A3
5241,GABRR2
5242,AK3
5243,MED6
5244,HLA-DRB4
5245,JDP2
5246,GPAT4
5247,HASPIN
5248,LRRC7
5249,UBA6
5250,MPV17
5251,SLC8B1
5252,IFNA4
5253,LPGAT1
5254,POLR2K
5255,CRBN
5256,RNF19B
5257,FRMD7
5258,SNCB
5259,IL5
5260,ANLN
5261,MBTPS2
5262,TMEM106B
5263,CHD1
5264,IKZF1
5265,WDR62
5266,TNP1
5267,BRD8
5268,OTP
5269,CASP8AP2
5270,SLC22A8
5271,OFD1
5272,NFE2
5273,RNASE7
5274,MYLIP
5275,CACNB3
5276,PXK
5277,MAF
5278,PKD1L3
5279,CACNA1A
5280,SGF29
5281,CLTB
5282,ACOT7
5283,UBXN2B
5284,COL6A2
5285,KDM7A
5286,DUSP26
5287,ARHGAP5
5288,CHTF18
5289,RSPO2
5290,LPO
5291,CLNS1A
5292,PHF1
5293,HTR3D
5294,METTL4
5295,ORM1
5296,IL27
5297,PLA2G2D
5298,RBPMS
5299,LDHB
5300,ATP10A
5301,SRCIN1
5302,ANTXR1
5303,TFAP2C
5304,CLEC4E
5305,TRPM7
5306,APOBEC3D
5307,KMT5B
5308,ADORA3
5309,SEMA4F
5310,PLEKHA8
5311,CACNG8
5312,KIF25
5313,TUBB2A
5314,EIF3F
5315,C1QC
5316,BMX
5317,GTF2A1
5318,HSD3B2
5319,NDC1
5320,IL36RN
5321,ANAPC7
5322,MGLL
5323,CEBPD
5324,CTLA4
5325,MBTPS1
5326,CUL2
5327,FCHO2
5328,ADSL
5329,TMED1
5330,FAF2
5331,LSM4
5332,TLE6
5333,NEUROD4
5334,EPHB4
5335,LEMD2
5336,CORO2B
5337,ETV6
5338,CCNO
5339,PDIA6
5340,NEU3
5341,DGKG
5342,HHIP
5343,ARHGAP32
5344,AP3M1
5345,ROPN1B
5346,PTPN12
5347,IL20RB
5348,MYOF
5349,HIPK3
5350,POLR3G
5351,CDC42EP2
5352,FCHSD2
5353,THAP11
5354,IFNA21
5355,PLPP2
5356,MICAL2
5357,PASK
5358,TSHZ3
5359,INO80C
5360,DHFR2
5361,TRAK2
5362,HERC5
5363,ATF7IP
5364,EPCAM
5365,SLIRP
5366,ABHD5
5367,MAP3K3
5368,RIN3
5369,TRIM65
5370,MAZ
5371,IFITM1
5372,BRD2
5373,COX15
5374,SDF4
5375,ASTN2
5376,SLC2A5
5377,BCL7A
5378,TOMM40
5379,FUT3
5380,GSPT1
5381,AGBL5
5382,PLA2G2F
5383,CXCL11
5384,SPINT1
5385,NEU4
5386,SPATA2
5387,GABRP
5388,PITPNA
5389,RPH3AL
5390,PATJ
5391,FBP2
5392,CLEC5A
5393,MMUT
5394,ENTPD5
5395,POLR1B
5396,NCF2
5397,SLC35D2
5398,ECSIT
5399,KLRC2
5400,HOMER3
5401,SULT1A1
5402,NUP107
5403,GNB2
5404,KCNA3
5405,PLCZ1
5406,ZBTB46
5407,CDHR5
5408,MKRN2
5409,INA
5410,SRSF1
5411,AMER1
5412,MANF
5413,ATP6V0D2
5414,DNAJB11
5415,THPO
5416,MAPK6
5417,BGN
5418,YEATS4
5419,EIF2B4
5420,RHOJ
5421,CDH6
5422,ROS1
5423,ADRA1B
5424,ACTL9
5425,SOSTDC1
5426,NETO1
5427,ABRAXAS2
5428,PRG2
5429,POTEE
5430,ZMYND10
5431,DARS1
5432,LTBP1
5433,CBLL1
5434,TXNRD1
5435,FGD1
5436,STK38L
5437,MYPN
5438,NME6
5439,ANKFY1
5440,MYOZ1
5441,HBG1
5442,PRPF40A
5443,DDX56
5444,VPS39
5445,SLC36A2
5446,LMOD2
5447,SSBP3
5448,TTPA
5449,SOCS6
5450,PHF6
5451,HTN1
5452,SDCBP2
5453,ODAD4
5454,SERBP1
5455,IFI35
5456,SLC24A2
5457,ZNF423
5458,GAD1
5459,PRG3
5460,SUPT5H
5461,DGKE
5462,GBP7
5463,MFSD8
5464,LFNG
5465,POTEKP
5466,SLC4A4
5467,SENP1
5468,COPG2
5469,DDX41
5470,BIN2
5471,TRIM63
5472,SLC26A11
5473,S100P
5474,ADGRG6
5475,RAB4A
5476,PABPC4
5477,CNBP
5478,SLC13A2
5479,LPAR2
5480,BOD1
5481,BRF1
5482,RILPL1
5483,PLXNA1
5484,SAP30L
5485,CYP27A1
5486,PAM
5487,SLC24A5
5488,COL7A1
5489,HSP90AA4P
5490,TOP3A
5491,CREM
5492,MSRA
5493,LMO7
5494,NME4
5495,CEP63
5496,CBFA2T3
5497,IMMP2L
5498,PTPRU
5499,IFNA8
5500,NEK8
5501,XPO5
5502,IFT81
5503,GET3
5504,ENPP7
5505,CREB3L4
5506,UBE2A
5507,PLA2G7
5508,NEK4
5509,ZNF827
5510,IFNA6
5511,BLNK
5512,SH3PXD2A
5513,WDR45
5514,QSOX1
5515,CDC42EP4
5516,PDE1B
5517,EPB42
5518,CRCP
5519,MEOX2
5520,SLC25A31
5521,ARHGAP6
5522,TINF2
5523,ETV2
5524,SLC30A9
5525,GPM6B
5526,MCM6
5527,ZNF335
5528,UPP1
5529,NUDT5
5530,NDUFS3
5531,NUTF2
5532,B3GAT3
5533,LPCAT4
5534,STK40
5535,CREB3L3
5536,TELO2
5537,STAB2
5538,LIN7B
5539,TRAF1
5540,CRAT
5541,MYRIP
5542,POLH
5543,PEX1
5544,PES1
5545,MTHFS
5546,OTUB1
5547,C2CD5
5548,PYGO2
5549,PRDM8
5550,FOLR2
5551,FGF17
5552,ELOVL3
5553,CD1B
5554,SULT2A1
5555,DYNC2I1
5556,USP20
5557,STRADB
5558,KMT5A
5559,CCL17
5560,DYSF
5561,CPNE6
5562,APBA2
5563,ZMYND11
5564,CASP10
5565,PCSK2
5566,GALNT3
5567,SPATA7
5568,CD248
5569,AIP
5570,HPS6
5571,CDH15
5572,PRSS2
5573,PLA2G4F
5574,TLX3
5575,SOX5
5576,ITSN2
5577,ABCB10
5578,INSRR
5579,TMED7
5580,MRAP
5581,BEX4
5582,KIF1C
5583,ERP44
5584,SLC25A23
5585,PSMD11
5586,DNAJC13
5587,HOXB2
5588,SZT2
5589,CECR2
5590,COL6A3
5591,SLC23A2
5592,PFDN2
5593,SCN9A
5594,KCND3
5595,CRLF1
5596,DR1
5597,MED7
5598,GRIA3
5599,IFNA5
5600,ACTG2
5601,BCCIP
5602,RAB39A
5603,ATAD1
5604,MTMR9
5605,SPRTN
5606,BABAM1
5607,TESK2
5608,FKBP6
5609,ASH2L
5610,FANCG
5611,SHB
5612,PHF5A
5613,CREBZF
5614,F5
5615,UBASH3B
5616,EMILIN2
5617,TAX1BP3
5618,GFRAL
5619,LTBP4
5620,ARHGAP24
5621,RAB5C
5622,MTR
5623,BMPER
5624,UIMC1
5625,IFNA17
5626,CYP11B2
5627,GEMIN4
5628,FUT4
5629,TAPT1
5630,HSD17B8
5631,SDHD
5632,AK1
5633,HCN3
5634,PSMD3
5635,CACYBP
5636,RPS25
5637,RND1
5638,MPHOSPH8
5639,ELF4
5640,ARL2BP
5641,SRRT
5642,IFNA16
5643,CLK3
5644,SLITRK1
5645,CYP11B1
5646,AADAT
5647,COL17A1
5648,ENTPD7
5649,CEL
5650,CNOT8
5651,CHM
5652,INTS13
5653,MAP6
5654,SLC22A13
5655,NHERF2
5656,SYNDIG1
5657,IPO7
5658,SOX13
5659,FRK
5660,CPT2
5661,TCF4
5662,SLC44A2
5663,MT2A
5664,ATG2B
5665,BACH1
5666,NOP58
5667,ARHGEF11
5668,NR1I3
5669,TIMP3
5670,ARHGAP21
5671,RTN4RL2
5672,PIP4P1
5673,FSTL3
5674,NDUFA9
5675,KIFC1
5676,CIAPIN1
5677,ELL
5678,SLC22A12
5679,FKTN
5680,HLA-DOA
5681,TMED3
5682,DDX54
5683,TBC1D10C
5684,ACOX1
5685,PDE8B
5686,TCTN1
5687,NANOS2
5688,COLEC10
5689,HADHA
5690,GEMIN2
5691,EGLN2
5692,RFK
5693,SYT3
5694,CHD1L
5695,DIS3
5696,KLK8
5697,TIMP2
5698,DOC2A
5699,ARNT2
5700,CCNY
5701,RTRAF
5702,LSM7
5703,GSTM1
5704,UBXN6
5705,RARS1
5706,TMOD3
5707,INO80E
5708,GTF2H5
5709,DEGS1
5710,ENTPD4
5711,IFNA1
5712,SSBP1
5713,FLII
5714,SLC26A8
5715,GFI1
5716,PEX16
5717,NANOG
5718,EIF3H
5719,RING1
5720,MAPRE3
5721,VPS37A
5722,CENPA
5723,RBL1
5724,CEACAM5
5725,SLC17A9
5726,CYCS
5727,SALL4
5728,HNRNPL
5729,TPGS1
5730,RAB3C
5731,NLRX1
5732,ARCN1
5733,WWP1
5734,MLKL
5735,SPOCK2
5736,TSPYL2
5737,LGR5
5738,PON3
5739,NOTO
5740,ELOB
5741,PARL
5742,ABT1
5743,STEAP3
5744,ZNF580
5745,OASL
5746,CEP85
5747,GPD1
5748,VNN1
5749,NUP214
5750,ELOVL1
5751,GRID1
5752,STX10
5753,OSBPL7
5754,ZC4H2
5755,NPEPPS
5756,IARS1
5757,TAF8
5758,BAG1
5759,ALDOC
5760,CEP43
5761,COPE
5762,PITX1
5763,ATP5F1D
5764,MT-CO1
5765,MGAT4A
5766,NDOR1
5767,EPS8L2
5768,RAB11FIP2
5769,ACSM3
5770,TOMM20
5771,DDO
5772,CDC14C
5773,EVPL
5774,RPS26
5775,NEU1
5776,NEXN
5777,TCF7
5778,F2RL2
5779,MT-RNR1
5780,ORC3
5781,DLX6
5782,CETN3
5783,PPIG
5784,SLC22A7
5785,MIOS
5786,NOP14
5787,PRLH
5788,DYNLL2
5789,FUT6
5790,LRSAM1
5791,KAT6B
5792,BCAT2
5793,NDUFS7
5794,RPUSD4
5795,GPSM1
5796,TAF2
5797,ASPSCR1
5798,SGMS2
5799,FMO5
5800,ALPK1
5801,PEX13
5802,NSD3
5803,PBX2
5804,SNRPC
5805,PDK3
5806,PIK3C2G
5807,TNFRSF10A
5808,SMARCAL1
5809,PSMA2
5810,NR3C2
5811,KIRREL1
5812,NELFE
5813,MAGED1
5814,FBXL19
5815,SLC16A3
5816,MSH4
5817,THAP1
5818,ELOVL6
5819,TMEM9
5820,PRKAB1
5821,USP30
5822,INO80D
5823,BCKDK
5824,EPN1
5825,BTN2A2
5826,ARHGDIB
5827,BRAP
5828,PMF1
5829,AGRP
5830,AP3S2
5831,GSR
5832,CD5L
5833,SLBP
5834,XRCC4
5835,ZDHHC20
5836,RNF220
5837,RIOK1
5838,PHACTR4
5839,ALAS2
5840,DSC2
5841,AGPAT5
5842,TRIM39
5843,ACSL5
5844,CHAF1B
5845,MARS1
5846,CLP1
5847,SLC43A2
5848,AP1S3
5849,NKX6-2
5850,GPC6
5851,CHCHD4
5852,KHK
5853,PVR
5854,RAD9A
5855,REG3G
5856,SGK2
5857,TUBB6
5858,TRAPPC2B
5859,HOXB13
5860,RPL13
5861,RIOX2
