,gene_name
427,AXIN1
428,ADCY10
429,NF2
430,RAB7A
431,XRCC5
432,APOA4
433,GRIN2A
434,MAP1B
435,INPP5K
436,ENPP1
437,GJA5
438,ANK3
439,BGLAP
440,PRKCI
441,HMGB2
442,HMGA2
443,CHRNB2
444,SLC7A5
445,LILRB1
446,VPS54
447,NDP
448,TAF1
449,IL1A
450,TFRC
451,NOS2
452,SMAD6
453,BCL10
454,P2RY1
455,XCL1
456,CCL2
457,DNM1L
458,SNAI2
459,MYC
460,ADCY8
461,NQO1
462,HES5
463,TSPO
464,PIK3CG
465,P2RX4
466,FER
467,FLOT1
468,NIPBL
469,RAB3A
470,CHMP4B
471,TUBA1A
472,MMP14
473,FCGR2B
474,SYT1
475,CASP8
476,TRIM32
477,AURKB
478,NEDD4
479,ERCC2
480,PPARGC1A
481,RUVBL1
482,CLEC7A
483,TACR1
484,DMD
485,NR1H3
486,GREM1
487,RAD51
488,PDGFRB
489,BNIP3
490,UCN
491,PRKCA
492,SKI
493,TSC1
494,SCRIB
495,HMOX1
496,ADRB2
497,CDH1
498,CFTR
499,PCNA
500,FADD
501,STX4
502,MIF
503,RAB11A
504,MSH2
505,RYR2
506,SLIT2
507,RUNX2
508,WRN
509,IL33
510,FZD4
511,NLRP3
512,VPS4B
513,SLC11A2
514,NGFR
515,RAF1
516,ADAM8
517,SLC11A1
518,CPS1
519,DKK1
520,TSG101
521,PIK3CB
522,PAK1
523,F2
524,POU4F1
525,CD3E
526,ITGB2
527,FURIN
528,NUMA1
529,WNT7B
530,ACTG1
531,LPAR1
532,PTN
533,NR2E1
534,MAP2K2
535,MME
536,ALOX5
537,HTR2B
538,TRIM21
539,FOXC2
540,BAIAP2
541,CRYAB
542,GATA4
543,CCL19
544,JUP
545,HAVCR2
546,CSF1R
547,SLC34A1
548,LGALS3
549,TBX20
550,CYFIP1
551,PTPN2
552,TMED2
553,BMP6
554,CYLD
555,FERMT2
556,HIP1R
557,CHMP1A
558,BIRC2
559,MSN
560,WNK1
561,CCL21
562,DGKQ
563,ALDH1A2
564,ANG
565,CEBPA
566,ASS1
567,ARRB2
568,SMPD3
569,SPRY2
570,CDH13
571,BCR
572,SMARCB1
573,STK4
574,ACTN2
575,NEFL
576,SOX11
577,SLC6A3
578,GSTP1
579,DAB2
580,OXTR
581,CDH5
582,CALM3
583,HTT
584,HTRA2
585,ITCH
586,SLC22A2
587,PDX1
588,CFLAR
589,FOXF1
590,ATP1A1
591,KDM1A
592,CD4
593,DISC1
594,DCTN1
595,NKX2-1
596,PDE2A
597,TIRAP
598,COL3A1
599,RDX
600,GCLC
601,IL6ST
602,CITED1
603,SRD5A1
604,TGM2
605,HDAC3
606,XDH
607,CXCL12
608,BCL3
609,CTSH
610,KCNA1
611,YWHAE
612,CHP1
613,SCN11A
614,HAP1
615,REST
616,HLA-A
617,SPTBN4
618,KCNJ11
619,CHMP2B
620,MKKS
621,CNR1
622,HRG
623,SPAST
624,FN1
625,IL2
626,UCP2
627,ATR
628,HLA-E
629,CASR
630,DDX5
631,ATP1B1
632,PLSCR1
633,CREB1
634,IFT20
635,PDPK1
636,AXIN2
637,SOS1
638,SIRT7
639,GRB2
640,SLC2A1
641,LPL
642,PDGFA
643,MT3
644,PPIA
645,WNT10B
646,OGT
647,RAB5A
648,MYOCD
649,S100A8
650,ALAD
651,IL18
652,CD2AP
653,HCK
654,ACTL6A
655,NME2
656,NFIB
657,CCDC88A
658,NCK1
659,SLC8A1
660,YY1
661,ELANE
662,RARG
663,ERCC6
664,RAB8A
665,ABCA7
666,NPPC
667,CHMP4A
668,BCL2L11
669,EGF
670,PENK
671,NR1H2
672,MAPK8
673,NCKAP1L
674,CHMP2A
675,CAPN3
676,CALM2
677,DRD3
678,PTPN1
679,KAT7
680,BRCA2
681,NFKBIZ
682,CLASP1
683,SLC3A2
684,VIL1
685,CDK6
686,FOXP1
687,XRCC6
688,ACVR2B
689,CAD
690,AGO2
691,PPP2CA
692,KIF14
693,PCK1
694,PPP2R1A
695,VCAM1
696,LIF
697,CBL
698,TIAM1
699,GDNF
700,STRA6
701,ERBB3
702,TBX5
703,ITGAM
704,SESN2
705,CHUK
706,ABCG1
707,IKBKB
708,DRD4
709,LILRB4
710,PPT1
711,PDPN
712,EPHB1
713,LIG4
714,CHMP3
715,HIP1
716,CHRNA7
717,CAPN2
718,SLC7A11
719,LCK
720,NCSTN
721,NOD1
722,RAC3
723,PPP3CB
724,AVP
725,COMP
726,GLI2
727,PLA2G10
728,ACE2
729,NPC1
730,GRIK2
731,CAV2
732,ITGA5
733,CTNNA1
734,HOMER1
735,EYA1
736,SYT4
737,NR1D1
738,IRAK1
739,SPI1
740,MACROH2A1
741,STING1
742,EPO
743,NR4A3
744,DDX11
745,IL4
746,IGF2R
747,TLR6
748,NEUROD1
749,ANGPT1
750,CD81
751,SLC12A2
752,JMJD6
753,SHANK3
754,SORT1
755,GCH1
756,DTNBP1
757,CENPF
758,HFE
759,SETD2
760,PIN1
761,ERCC1
762,GRIN2B
763,EIF2AK3
764,RPTOR
765,PICK1
766,YBX1
767,EMP2
768,MMP9
769,PTPRJ
770,VDR
771,CARD9
772,ABCD1
773,BOK
774,GNAI2
775,MSX2
776,EGR1
777,NFKBIA
778,ADM
779,DIAPH3
780,NUP62
781,NUPR1
782,HSPB1
783,CCND1
784,BAG6
785,CREBBP
786,SPHK2
787,SLC22A1
788,ALPL
789,DNMT3A
790,PLA2G4A
791,KCNA5
792,ATP2A2
793,CD14
794,SOX8
795,ABCC8
796,TERF2
