epoch,train_loss,val_loss,test_loss,val_rmse,val_cor,test_rmse,test_cor
1,0.1617,0.0403,0.033,0.2008,0.6223,0.1826,0.5559
2,0.0398,0.0293,0.0319,0.1711,0.7544,0.179,0.6047
3,0.0312,0.0245,0.0311,0.1565,0.7972,0.1767,0.6316
4,0.0274,0.022,0.0303,0.1485,0.8147,0.1742,0.6485
5,0.0255,0.0223,0.0304,0.1493,0.8185,0.1748,0.6506
6,0.0243,0.0212,0.03,0.1456,0.8239,0.1738,0.6737
7,0.0234,0.0208,0.0335,0.1443,0.8295,0.1832,0.6553
8,0.0226,0.0211,0.0272,0.1455,0.8337,0.1658,0.6886
9,0.0218,0.0198,0.0277,0.1408,0.8369,0.1669,0.6897
10,0.0212,0.0193,0.0273,0.1389,0.8424,0.1654,0.7078
11,0.0206,0.0196,0.0265,0.1402,0.8403,0.1635,0.6901
12,0.0202,0.0193,0.0249,0.1388,0.8421,0.1585,0.6964
13,0.0197,0.0193,0.0263,0.1388,0.8476,0.163,0.7154
14,0.0192,0.0201,0.0293,0.1416,0.8526,0.1715,0.7101
15,0.0187,0.0185,0.0261,0.1359,0.8551,0.1623,0.7079
16,0.0181,0.0189,0.0282,0.1375,0.8565,0.1687,0.714
17,0.0178,0.0181,0.0249,0.1347,0.8576,0.1587,0.7242
18,0.0174,0.0173,0.0243,0.1314,0.8601,0.1567,0.7192
19,0.0171,0.0199,0.0256,0.1411,0.8634,0.1613,0.7235
20,0.0166,0.0182,0.024,0.1348,0.8622,0.1559,0.7292
21,0.0163,0.0177,0.0254,0.1331,0.8647,0.1605,0.7135
22,0.0159,0.0198,0.0266,0.1407,0.8616,0.1641,0.7152
23,0.0155,0.016,0.0247,0.1264,0.8692,0.1581,0.7057
24,0.0152,0.0173,0.026,0.1316,0.8683,0.1622,0.7051
25,0.0149,0.0167,0.0257,0.1293,0.8721,0.1611,0.717
26,0.0145,0.0155,0.0247,0.1245,0.8718,0.1581,0.6988
27,0.0141,0.0152,0.024,0.1232,0.8762,0.156,0.7123
28,0.0139,0.0172,0.0256,0.1311,0.8782,0.161,0.7168
29,0.0137,0.0161,0.0268,0.127,0.8807,0.1646,0.7032
30,0.0133,0.0154,0.0252,0.1243,0.8811,0.1599,0.7146
31,0.0131,0.0143,0.0244,0.1197,0.8834,0.157,0.7111
32,0.0127,0.0166,0.0268,0.1289,0.8823,0.1643,0.7148
33,0.0125,0.0143,0.024,0.1198,0.8825,0.1552,0.7154
34,0.0123,0.015,0.025,0.1225,0.8825,0.1588,0.72
35,0.0119,0.0147,0.0251,0.1214,0.8852,0.1593,0.7104
36,0.0117,0.0151,0.0258,0.1231,0.8817,0.1618,0.6932
